run_id,combo_id,combo_role,feature_ids,feature_dim,model,train_samples,validation_samples,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,minority_recall_mean,fit_seconds,predict_seconds,total_seconds,model_params,warnings,recall_battery,f1_battery,recall_biological,f1_biological,recall_cardboard,f1_cardboard,recall_clothes,f1_clothes,recall_glass,f1_glass,recall_metal,f1_metal,recall_paper,f1_paper,recall_plastic,f1_plastic,recall_shoes,f1_shoes,recall_trash,f1_trash
S3_02_F3_hog__F2_texture__LightGBM,S3_02_F3_hog__F2_texture,one_step_addition,F3_hog+F2_texture,1794,LightGBM,8581,1839,0.7128874388,0.7145561786,0.6924806747,0.6976144392,0.7091972289,0.6984812804,174.2044,0.2668,174.4712,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8318584071,0.8068669528,0.7047619048,0.6519823789,0.6981132075,0.7167070218,0.9190140845,0.8758389262,0.7153846154,0.6714801444,0.4428571429,0.5367965368,0.7,0.6829268293,0.6166666667,0.6420824295,0.7373271889,0.7305936073,0.5588235294,0.6608695652
S3_03_F3_hog__F5_gist__LogisticRegression,S3_03_F3_hog__F5_gist,one_step_addition,F3_hog+F5_gist,1828,LogisticRegression,8581,1839,0.5247417074,0.4914628695,0.5024146614,0.495595597,0.523569247,0.4974033861,3.1561,0.0072,3.1633,"{""C"": 0.3, ""class_weight"": ""balanced""}",,0.6371681416,0.6206896552,0.4285714286,0.3982300885,0.5047169811,0.5169082126,0.8204225352,0.7884940778,0.4423076923,0.4684317719,0.3142857143,0.3034482759,0.37,0.3915343915,0.5041666667,0.5193133047,0.5760368664,0.5747126437,0.4264705882,0.3741935484
S3_03_F3_hog__F5_gist__KNN,S3_03_F3_hog__F5_gist,one_step_addition,F3_hog+F5_gist,1828,KNN,8581,1839,0.6106579663,0.5863981908,0.5856607923,0.5787150579,0.6060177179,0.5739020682,0.1259,5.0002,5.1261,"{""metric"": ""manhattan"", ""n_neighbors"": 9, ""weights"": ""distance""}",,0.7610619469,0.6666666667,0.5047619048,0.4173228346,0.6556603774,0.6525821596,0.9401408451,0.8066465257,0.5269230769,0.5696465696,0.3928571429,0.431372549,0.515,0.5378590078,0.5375,0.5596529284,0.5668202765,0.6684782609,0.4558823529,0.4769230769
S3_03_F3_hog__F5_gist__LinearSVM_SGD,S3_03_F3_hog__F5_gist,one_step_addition,F3_hog+F5_gist,1828,LinearSVM_SGD,8581,1839,0.5535617183,0.5391784217,0.5275217964,0.5291606727,0.5551844371,0.5328722639,112.0584,0.0128,112.0712,"{""alpha"": 0.0003, ""average"": true, ""class_weight"": ""balanced"", ""learning_rate"": ""optimal""}",Maximum number of iteration reached before convergence. Consider increasing max_iter to improve the fit.,0.6725663717,0.7136150235,0.5142857143,0.4757709251,0.4952830189,0.56,0.8098591549,0.7917383821,0.6423076923,0.5422077922,0.2857142857,0.2730375427,0.39,0.414893617,0.4958333333,0.5162689805,0.5576036866,0.6205128205,0.4117647059,0.3835616438
S3_03_F3_hog__F5_gist__DecisionTree,S3_03_F3_hog__F5_gist,one_step_addition,F3_hog+F5_gist,1828,DecisionTree,8581,1839,0.3996737357,0.3866090692,0.3959542578,0.3833263945,0.4071898605,0.4355432438,4.9686,0.0053,4.9739,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": 0.6, ""min_samples_leaf"": 10}",,0.5398230088,0.4899598394,0.4285714286,0.3249097473,0.391509434,0.4267352185,0.6021126761,0.6380597015,0.2807692308,0.3288288288,0.3,0.2333333333,0.305,0.3177083333,0.3541666667,0.3846153846,0.4193548387,0.4482758621,0.3382352941,0.2408376963
S3_03_F3_hog__F5_gist__RandomForest,S3_03_F3_hog__F5_gist,one_step_addition,F3_hog+F5_gist,1828,RandomForest,8581,1839,0.6073953235,0.6202158688,0.5839677192,0.5883345033,0.6019256111,0.5875548449,10.1266,0.0483,10.1749,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 260}",,0.7345132743,0.6775510204,0.5428571429,0.475,0.5849056604,0.62,0.9049295775,0.7683109118,0.6,0.5842696629,0.3428571429,0.4507042254,0.565,0.5078651685,0.5125,0.5720930233,0.5668202765,0.6275510204,0.4852941176,0.6
S3_03_F3_hog__F5_gist__XGBoost,S3_03_F3_hog__F5_gist,one_step_addition,F3_hog+F5_gist,1828,XGBoost,8581,1839,0.6769983687,0.6749376109,0.6543934911,0.6604381524,0.6736194071,0.6476876296,208.0968,0.0409,208.1377,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.055, ""max_depth"": 5, ""n_estimators"": 360, ""reg_lambda"": 2.0, ""subsample"": 0.85}",,0.8318584071,0.8281938326,0.5523809524,0.5272727273,0.6745283019,0.6924939467,0.9154929577,0.8681135225,0.6538461538,0.6355140187,0.4142857143,0.4734693878,0.635,0.6091127098,0.575,0.6119733925,0.732718894,0.6973684211,0.5588235294,0.6608695652
S3_03_F3_hog__F5_gist__LightGBM,S3_03_F3_hog__F5_gist,one_step_addition,F3_hog+F5_gist,1828,LightGBM,8581,1839,0.6965742251,0.6999221181,0.6752953322,0.682022096,0.6930173399,0.6787160292,181.1338,0.2798,181.4136,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.814159292,0.8251121076,0.619047619,0.5726872247,0.7028301887,0.6978922717,0.9084507042,0.86,0.7038461538,0.6678832117,0.4071428571,0.4978165939,0.63,0.6131386861,0.6041666667,0.6415929204,0.7603686636,0.7432432432,0.6029411765,0.7008547009
S3_04_F3_hog__F6_bof__LogisticRegression,S3_04_F3_hog__F6_bof,one_step_addition,F3_hog+F6_bof,2020,LogisticRegression,8581,1839,0.5878194671,0.5624799011,0.5720185068,0.5653871693,0.5906379709,0.5596576684,3.0572,0.0081,3.0653,"{""C"": 0.3, ""class_weight"": ""balanced""}",,0.7079646018,0.6722689076,0.4857142857,0.4700460829,0.5613207547,0.6040609137,0.7992957746,0.8150807899,0.5076923077,0.5186640472,0.45,0.4064516129,0.585,0.5611510791,0.525,0.5502183406,0.6129032258,0.6273584906,0.4852941176,0.4285714286
S3_04_F3_hog__F6_bof__KNN,S3_04_F3_hog__F6_bof,one_step_addition,F3_hog+F6_bof,2020,KNN,8581,1839,0.5997824905,0.5683319005,0.5672211281,0.5614240872,0.5951052382,0.523727308,0.1401,5.6006,5.7408,"{""metric"": ""manhattan"", ""n_neighbors"": 9, ""weights"": ""distance""}",,0.7256637168,0.656,0.419047619,0.3744680851,0.6556603774,0.6420323326,0.9366197183,0.8036253776,0.5307692308,0.5774058577,0.3571428571,0.3846153846,0.54,0.5595854922,0.5416666667,0.5462184874,0.5391705069,0.65,0.4264705882,0.4202898551
