model_id,split,true_label,predicted_label,count
rf_lowdim_balanced,test,plastic,biological,2
rf_lowdim_balanced,test,plastic,cardboard,16
rf_lowdim_balanced,test,plastic,clothes,29
rf_lowdim_balanced,test,plastic,glass,30
rf_lowdim_balanced,test,plastic,metal,5
rf_lowdim_balanced,test,plastic,paper,12
rf_lowdim_balanced,test,plastic,plastic,136
rf_lowdim_balanced,test,plastic,shoes,1
rf_lowdim_balanced,test,plastic,trash,4
rf_lowdim_balanced,test,shoes,battery,12
rf_lowdim_balanced,test,shoes,biological,8
rf_lowdim_balanced,test,shoes,cardboard,3
rf_lowdim_balanced,test,shoes,clothes,27
rf_lowdim_balanced,test,shoes,glass,7
rf_lowdim_balanced,test,shoes,metal,2
rf_lowdim_balanced,test,shoes,paper,5
rf_lowdim_balanced,test,shoes,plastic,7
rf_lowdim_balanced,test,shoes,shoes,145
rf_lowdim_balanced,test,shoes,trash,1
rf_lowdim_balanced,test,trash,battery,2
rf_lowdim_balanced,test,trash,biological,0
rf_lowdim_balanced,test,trash,cardboard,1
rf_lowdim_balanced,test,trash,clothes,5
rf_lowdim_balanced,test,trash,glass,4
rf_lowdim_balanced,test,trash,metal,6
rf_lowdim_balanced,test,trash,paper,0
rf_lowdim_balanced,test,trash,plastic,9
rf_lowdim_balanced,test,trash,shoes,2
rf_lowdim_balanced,test,trash,trash,39
knn_compact_gist_texture_shape,test,battery,battery,61
knn_compact_gist_texture_shape,test,battery,biological,3
knn_compact_gist_texture_shape,test,battery,cardboard,21
knn_compact_gist_texture_shape,test,battery,clothes,1
knn_compact_gist_texture_shape,test,battery,glass,6
knn_compact_gist_texture_shape,test,battery,metal,2
knn_compact_gist_texture_shape,test,battery,paper,4
knn_compact_gist_texture_shape,test,battery,plastic,2
knn_compact_gist_texture_shape,test,battery,shoes,11
knn_compact_gist_texture_shape,test,battery,trash,2
knn_compact_gist_texture_shape,test,biological,battery,1
knn_compact_gist_texture_shape,test,biological,biological,53
knn_compact_gist_texture_shape,test,biological,cardboard,3
knn_compact_gist_texture_shape,test,biological,clothes,10
knn_compact_gist_texture_shape,test,biological,glass,8
knn_compact_gist_texture_shape,test,biological,metal,1
knn_compact_gist_texture_shape,test,biological,paper,14
knn_compact_gist_texture_shape,test,biological,plastic,3
knn_compact_gist_texture_shape,test,biological,shoes,7
knn_compact_gist_texture_shape,test,biological,trash,5
knn_compact_gist_texture_shape,test,cardboard,battery,2
knn_compact_gist_texture_shape,test,cardboard,biological,5
knn_compact_gist_texture_shape,test,cardboard,cardboard,118
knn_compact_gist_texture_shape,test,cardboard,clothes,20
knn_compact_gist_texture_shape,test,cardboard,glass,14
knn_compact_gist_texture_shape,test,cardboard,metal,3
knn_compact_gist_texture_shape,test,cardboard,paper,13
knn_compact_gist_texture_shape,test,cardboard,plastic,25
knn_compact_gist_texture_shape,test,cardboard,shoes,10
knn_compact_gist_texture_shape,test,cardboard,trash,2
knn_compact_gist_texture_shape,test,clothes,battery,1
knn_compact_gist_texture_shape,test,clothes,biological,4
knn_compact_gist_texture_shape,test,clothes,cardboard,4
knn_compact_gist_texture_shape,test,clothes,clothes,252
knn_compact_gist_texture_shape,test,clothes,glass,1
knn_compact_gist_texture_shape,test,clothes,metal,2
knn_compact_gist_texture_shape,test,clothes,paper,5
knn_compact_gist_texture_shape,test,clothes,plastic,9
knn_compact_gist_texture_shape,test,clothes,shoes,6
knn_compact_gist_texture_shape,test,clothes,trash,0
knn_compact_gist_texture_shape,test,glass,battery,0
knn_compact_gist_texture_shape,test,glass,biological,6
knn_compact_gist_texture_shape,test,glass,cardboard,5
knn_compact_gist_texture_shape,test,glass,clothes,32
