candidate_id,source_short,model_label,split,true_label,predicted_label,count
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,plastic,paper,10
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,plastic,plastic,100
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,plastic,shoes,10
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,plastic,trash,3
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,shoes,battery,3
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,shoes,biological,24
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,shoes,cardboard,3
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,shoes,clothes,44
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,shoes,glass,32
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,shoes,metal,5
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,shoes,paper,6
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,shoes,plastic,4
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,shoes,shoes,92
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,shoes,trash,4
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,trash,biological,4
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,trash,cardboard,9
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,trash,clothes,10
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,trash,glass,7
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,trash,metal,3
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,trash,paper,4
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,trash,plastic,9
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,trash,shoes,5
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,trash,trash,17
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,battery,battery,95
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,battery,biological,3
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,battery,cardboard,3
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,battery,glass,1
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,battery,metal,4
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,battery,paper,1
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,battery,plastic,1
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,battery,shoes,5
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,biological,biological,89
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,biological,cardboard,1
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,biological,clothes,3
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,biological,glass,2
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,biological,metal,2
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,biological,paper,1
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,biological,plastic,3
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,biological,shoes,3
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,biological,trash,1
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,cardboard,battery,3
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,cardboard,biological,2
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,cardboard,cardboard,167
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,cardboard,clothes,3
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,cardboard,glass,4
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,cardboard,metal,7
